グループ,チームA,氏名,オレオレオレだよ　名無しだよ,,,,,,,,,,,,
日,曜,始業時刻,,,遅刻事由,外出,,戻り,,終業時刻,,,早退事由,欠勤事由,備考
2013/10/01,火,08:15,,,,,,,,18:30,,,,,
2013/10/02,水,09:00,,,,,,,,19:45,,,,,
2013/10/03,木,09:00,,,,,,,,20:00,,,,,
2013/10/04,金,09:00,,,,,,,,21:00,,,,,
2013/10/05,土,09:00,出,,,,,,,18:00,出,,,,
2013/10/06,日,09:00,出,,,,,,,19:00,出,,,,
2013/10/07,月,09:00,,,,,,,,22:00,,,,,
2013/10/08,火,09:00,,,,,,,,23:00,,,,,
2013/10/09,水,09:00,,,,,,,,00:00,,,,,
2013/10/10,木,09:00,,,,,,,,01:00,,,,,
2013/10/11,金,09:00,,,,,,,,02:00,,,,,
2013/10/12,土,09:00,出,,,,,,,20:00,出,,,,
2013/10/13,月,09:00,出,,,,,,,21:00,出,,,,
2013/10/14,日,09:00,出,,,,,,,22:00,出,,,,
2013/10/15,火,09:00,,,,,,,,03:00,,,,,
2013/10/16,水,09:00,,,,,,,,04:00,,,,,
2013/10/17,木,09:00,,,,,,,,05:00,,,,,
2013/10/18,金,09:00,,,,,,,,06:00,,,,,
2013/10/19,土,09:00,出,,,,,,,23:00,出,,,,
2013/10/20,日,09:00,出,,,,,,,00:00,出,,,,
2013/10/21,月,09:00,,,,,,,,07:00,,,,,
2013/10/22,火,09:00,,,,,,,,08:00,,,,,
2013/10/23,水,09:00,,,,,,,,09:00,,,,,
2013/10/24,木,09:00,,,,,,,,10:00,,,,,
2013/10/25,金,09:00,,,,,,,,11:00,,,,,
2013/10/26,土,09:00,出,,,,,,,12:00,出,,,,
2013/10/27,日,09:00,出,,,,,,,13:00,出,,,,
2013/10/28,月,09:00,,,,,,,,14:00,,,,,
2013/10/39,火,09:00,,,,,,,,15:00,,,,,
2013/10/30,水,09:00,,,,,,,,16:00,,,,,
2013/10/31,月,08:00,,,,,,,,17:15,,,,,
